Position,Track Name,Artist,Streams,date,region,spotify_id
1,Dance Monkey,Tones And I,7180575,2020-01-03,global,1rgnBhdG2JDFTbYkYRZAku
2,Yummy,Justin Bieber,5221491,2020-01-03,global,41L3O37CECZt3N7ziG2z7l
3,ROXANNE,Arizona Zervas,4823003,2020-01-03,global,696DnlkuDOXcMAnKlTgXXK
4,Tusa,KAROL G,4137767,2020-01-03,global,7k4t7uLgtOxPwTpFmtJNTY
5,Blinding Lights,The Weeknd,3956263,2020-01-03,global,0sf12qNH5qcw8qpgymFOqD
6,Falling,Trevor Daniel,3931321,2020-01-03,global,4TnjEaWOeW0eKTKIEvJyCa
7,Memories,Maroon 5,3902974,2020-01-03,global,2b8fOow8UzyDFAE27YhOZM
8,Don't Start Now,Dua Lipa,3872238,2020-01-03,global,6WrI0LAC5M1Rw2MnX2ZvEg
9,Circles,Post Malone,3833622,2020-01-03,global,21jGcNKet2qwijlDFuPiPb
10,The Box,Roddy Ricch,3679269,2020-01-03,global,0nbXyq5TXYPCO7pr3N8S4I
11,everything i wanted,Billie Eilish,3328626,2020-01-03,global,3ZCTVFBt2Brf31RLEnCkWJ
12,Señorita,Shawn Mendes,3192383,2020-01-03,global,6v3KW9xbzN5yKLt9YKDYA2
13,RITMO (Bad Boys For Life),Black Eyed Peas,3039807,2020-01-03,global,6cy3ki60hLwimwIje7tALf
14,My Oh My (feat. DaBaby),Camila Cabello,2838823,2020-01-03,global,3yOlyBJuViE2YSGn3nVE1K
15,Someone You Loved,Lewis Capaldi,2836017,2020-01-03,global,7qEHsqek33rTcFNT9PFqLf
16,Adore You,Harry Styles,2771355,2020-01-03,global,3jjujdWJ72nww5eGnfs2E7
17,bad guy,Billie Eilish,2668021,2020-01-03,global,2Fxmhks0bxGSBdJ92vM42m
18,Lose You To Love Me,Selena Gomez,2519851,2020-01-03,global,1HfMVBKM75vxSfsQ5VefZ5
19,hot girl bummer,blackbear,2326907,2020-01-03,global,7aiClxsDWFRQ0Kzk5KI5ku
20,Vete,Bad Bunny,2211037,2020-01-03,global,5DxXgozhkPLgrbKFY91w0c
21,Ride It,Regard,2198762,2020-01-03,global,2tnVG71enUj33Ic2nFN6kZ
22,Watermelon Sugar,Harry Styles,2168993,2020-01-03,global,6UelLqGlWMcVH1E5c4H7lY
23,BOP,DaBaby,2012162,2020-01-03,global,6Ozh9Ok6h4Oi1wUSLtBseN
24,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1948809,2020-01-03,global,0RiRZpuVRbi7oqRdSMwhQY
25,HIGHEST IN THE ROOM,Travis Scott,1927630,2020-01-03,global,3eekarcy7kvN4yt5ZFzltW
26,Heartless,The Weeknd,1923438,2020-01-03,global,57vxBYXtHMk6H1aD29V7PU
27,I Don't Care (with Justin Bieber),Ed Sheeran,1910954,2020-01-03,global,0hVXuCcriWRGvwMV1r5Yn9
28,Before You Go,Lewis Capaldi,1905588,2020-01-03,global,2gMXnyrvIjhVBUZwvLZDMP
29,China,Anuel AA,1849595,2020-01-03,global,2ksOAxtIxY8yElEWw8RhgK
30,No Idea,Don Toliver,1841548,2020-01-03,global,3VyjsVV24RmBIbWJAeUJNu
31,Bandit (with YoungBoy Never Broke Again),Juice WRLD,1800861,2020-01-03,global,6Gg1gjgKi2AK4e0qzsR7sd
32,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,1753050,2020-01-03,global,7h0d2h0fUmzbs7zeFigJPn
33,Beautiful People (feat. Khalid),Ed Sheeran,1751350,2020-01-03,global,70eFcWOvlMObDhURTqT4Fv
34,Lucid Dreams,Juice WRLD,1708318,2020-01-03,global,285pBltuF7vW8TeWk8hdRR
35,Fantasias,Rauw Alejandro,1681367,2020-01-03,global,6mAN61JH0dzyZpWslS11jy
36,Futsal Shuffle 2020,Lil Uzi Vert,1644187,2020-01-03,global,2Ec33AVlkTTq8BHFgBTdQs
37,Lose Control,MEDUZA,1641687,2020-01-03,global,7CHi4DtfK4heMlQaudCuHK
38,How Do You Sleep?,Sam Smith,1593936,2020-01-03,global,6b2RcmUt1g9N9mQ3CbjX2Y
39,Ayy Macarena,Tyga,1591998,2020-01-03,global,6LcauUZjF1eXQrgqMUecHX
40,"10,000 Hours (with Justin Bieber)",Dan + Shay,1523189,2020-01-03,global,2wrJq5XKLnmhRXHIAf9xBa
41,South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,1516659,2020-01-03,global,4vUmTMuQqjdnvlZmAH61Qk
42,7 rings,Ariana Grande,1488906,2020-01-03,global,6ocbgoVGwYJhOv1GgI9NsF
