Position,Track Name,Artist,Streams,date,region,spotify_id
1,Dance Monkey,Tones And I,50241241,2020-01-03--2020-01-10,global,1rgnBhdG2JDFTbYkYRZAku
2,Yummy,Justin Bieber,36772939,2020-01-03--2020-01-10,global,41L3O37CECZt3N7ziG2z7l
3,ROXANNE,Arizona Zervas,33546219,2020-01-03--2020-01-10,global,696DnlkuDOXcMAnKlTgXXK
4,The Box,Roddy Ricch,32333490,2020-01-03--2020-01-10,global,0nbXyq5TXYPCO7pr3N8S4I
5,Tusa,KAROL G,29519007,2020-01-03--2020-01-10,global,7k4t7uLgtOxPwTpFmtJNTY
6,Blinding Lights,The Weeknd,29198353,2020-01-03--2020-01-10,global,0sf12qNH5qcw8qpgymFOqD
7,Falling,Trevor Daniel,28253241,2020-01-03--2020-01-10,global,4TnjEaWOeW0eKTKIEvJyCa
8,Don't Start Now,Dua Lipa,27338884,2020-01-03--2020-01-10,global,6WrI0LAC5M1Rw2MnX2ZvEg
9,Memories,Maroon 5,27008690,2020-01-03--2020-01-10,global,2b8fOow8UzyDFAE27YhOZM
10,Circles,Post Malone,26365136,2020-01-03--2020-01-10,global,21jGcNKet2qwijlDFuPiPb
11,everything i wanted,Billie Eilish,23713150,2020-01-03--2020-01-10,global,3ZCTVFBt2Brf31RLEnCkWJ
12,Señorita,Shawn Mendes,21757299,2020-01-03--2020-01-10,global,6v3KW9xbzN5yKLt9YKDYA2
13,RITMO (Bad Boys For Life),Black Eyed Peas,20528253,2020-01-03--2020-01-10,global,6cy3ki60hLwimwIje7tALf
14,Someone You Loved,Lewis Capaldi,19959201,2020-01-03--2020-01-10,global,7qEHsqek33rTcFNT9PFqLf
15,My Oh My (feat. DaBaby),Camila Cabello,19300578,2020-01-03--2020-01-10,global,3yOlyBJuViE2YSGn3nVE1K
16,Adore You,Harry Styles,19186086,2020-01-03--2020-01-10,global,3jjujdWJ72nww5eGnfs2E7
17,bad guy,Billie Eilish,17816634,2020-01-03--2020-01-10,global,2Fxmhks0bxGSBdJ92vM42m
18,Lose You To Love Me,Selena Gomez,17572597,2020-01-03--2020-01-10,global,1HfMVBKM75vxSfsQ5VefZ5
19,hot girl bummer,blackbear,16238889,2020-01-03--2020-01-10,global,7aiClxsDWFRQ0Kzk5KI5ku
20,Ride It,Regard,15539132,2020-01-03--2020-01-10,global,2tnVG71enUj33Ic2nFN6kZ
21,Watermelon Sugar,Harry Styles,15046960,2020-01-03--2020-01-10,global,6UelLqGlWMcVH1E5c4H7lY
22,Vete,Bad Bunny,14566103,2020-01-03--2020-01-10,global,5DxXgozhkPLgrbKFY91w0c
23,BOP,DaBaby,14405376,2020-01-03--2020-01-10,global,6Ozh9Ok6h4Oi1wUSLtBseN
24,Before You Go,Lewis Capaldi,13868353,2020-01-03--2020-01-10,global,2gMXnyrvIjhVBUZwvLZDMP
25,HIGHEST IN THE ROOM,Travis Scott,13543851,2020-01-03--2020-01-10,global,3eekarcy7kvN4yt5ZFzltW
26,No Idea,Don Toliver,13518622,2020-01-03--2020-01-10,global,3VyjsVV24RmBIbWJAeUJNu
27,Heartless,The Weeknd,13269565,2020-01-03--2020-01-10,global,57vxBYXtHMk6H1aD29V7PU
28,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,13163070,2020-01-03--2020-01-10,global,0RiRZpuVRbi7oqRdSMwhQY
29,I Don't Care (with Justin Bieber),Ed Sheeran,12813311,2020-01-03--2020-01-10,global,0hVXuCcriWRGvwMV1r5Yn9
